"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Edition","Publisher","Address","Book title","Proceedings title","Conference location","Date published","Date accessed","ISBN","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Abstract","Keywords","Notes","Affiliation","Language","Sub-type","Series","Archive prefix","Eprint ID","Primary class","Pages cited","School","Version"
"Journal Article","Fazel Zarandi MH,Sadat Asl AA,Sotudian S,Castillo O","","A state of the art review of intelligent scheduling","Artificial Intelligence Review","2020","53","1","501-593","","","","","","","","2020","","","","","https://doi.org/10.1007/s10462-018-9667-6;http://dx.doi.org/10.1007/s10462-018-9667-6","10.1007/s10462-018-9667-6","","","Intelligent scheduling covers various tools and techniques for successfully and efficiently solving the scheduling problems. In this paper, we provide a survey of intelligent scheduling systems by categorizing them into five major techniques containing fuzzy logic, expert systems, machine learning, stochastic local search optimization algorithms and constraint programming. We also review the application case studies of these techniques.","","","","","","","","","","","",""
"Journal Article","Childers CP,Maggard-Gibbons M","","Understanding Costs of Care in the Operating Room","JAMA Surgery","2018","153","4","e176233-e176233","","","","","","","","04 2018","","","2168-6254","","https://doi.org/10.1001/jamasurg.2017.6233;http://dx.doi.org/10.1001/jamasurg.2017.6233","10.1001/jamasurg.2017.6233","","","Increasing value requires improving quality or decreasing costs. In surgery, estimates for the cost of 1 minute of operating room (OR) time vary widely. No benchmark exists for the cost of OR time, nor has there been a comprehensive assessment of what contributes to OR cost.To calculate the cost of 1 minute of OR time, assess cost by setting and facility characteristics, and ascertain the proportion of costs that are direct and indirect.This cross-sectional and longitudinal analysis examined annual financial disclosure documents from all comparable short-term general and specialty care hospitals in California from fiscal year (FY) 2005 to FY2014 (N = 3044; FY2014, n = 302). The analysis focused on 2 revenue centers: (1) surgery and recovery and (2) ambulatory surgery.Mean cost of 1 minute of OR time, stratified by setting (inpatient vs ambulatory), teaching status, and hospital ownership. The proportion of cost attributable to indirect and direct expenses was identified; direct expenses were further divided into salary, benefits, supplies, and other direct expenses.In FY2014, a total of 175 of 302 facilities (57.9%) were not for profit, 78 (25.8%) were for profit, and 49 (16.2%) were government owned. Thirty facilities (9.9%) were teaching hospitals. The mean (SD) cost for 1 minute of OR time across California hospitals was \$37.45 (\$16.04) in the inpatient setting and \$36.14 (\$19.53) in the ambulatory setting (P = .65). There were no differences in mean expenditures when stratifying by ownership or teaching status except that teaching hospitals had lower mean (SD) expenditures than nonteaching hospitals in the inpatient setting (\$29.88 [\$9.06] vs \$38.29 [\$16.43]; P = .006). Direct expenses accounted for 54.6% of total expenses (\$20.40 of \$37.37) in the inpatient setting and 59.1% of total expenses (\$20.90 of \$35.39) in the ambulatory setting. Wages and benefits accounted for approximately two-thirds of direct expenses (inpatient, \$14.00 of \$20.40; ambulatory, \$14.35 of \$20.90), with nonbillable supplies accounting for less than 10% of total expenses (inpatient, \$2.55 of \$37.37; ambulatory, \$3.33 of \$35.39). From FY2005 to FY2014, expenses in the OR have increased faster than the consumer price index and medical consumer price index. Teaching hospitals had slower growth in costs than nonteaching hospitals. Over time, the proportion of expenses dedicated to indirect costs has increased, while the proportion attributable to salary and supplies has decreased.The mean cost of OR time is \$36 to \$37 per minute, using financial data from California's short-term general and specialty hospitals in FY2014. These statewide data provide a generalizable benchmark for the value of OR time. Furthermore, understanding the composition of costs will allow those interested in value improvement to identify high-yield targets.","","","","","","","","https://jamanetwork.com/journals/jamasurgery/articlepdf/2673385/jamasurgery_childers_2018_oi_170128.pdf","","","",""
"Journal Article","Rahimi I,Gandomi AH","","A Comprehensive Review and Analysis of Operating Room and Surgery Scheduling","Archives of Computational Methods in Engineering","2021","28","3","1667-1688","","","","","","","","2021","","","","","https://doi.org/10.1007/s11831-020-09432-2;http://dx.doi.org/10.1007/s11831-020-09432-2","10.1007/s11831-020-09432-2","","","A comprehensive review and analysis of operating room (OR) theatre scheduling problems as well as a comparison of solution approaches along with suggestions for future studies are presented in this work. A detailed scientometric analysis was performed, which is a powerful tool for conducting bibliometric analyses and comprehensive reviews. OR scheduling problems were categorized into three decision levels, including strategical, tactical, and operational levels. Since optimization of OR problems is an NP-hard optimization problem, we evaluated research studies that employed different mathematical and metaheuristic methods to address OR optimization problems. The comprehensive review presented in this work is divided into two sections. The first section is focused on mathematical modeling, including deterministic and uncertainty modeling, and the second section is focused on solution approaches. The latter section reviews single and multi-objective solution methods. An additional section of this paper is focused on application software that are developed to address the previously mentioned problems. The final section of the paper presents conclusions of this work.","","","","","","","","","","","",""
"Journal Article","Bovim TR,Christiansen M,Gullhav AN,Range TM,Hellemo L","","Stochastic master surgery scheduling","European Journal of Operational Research","2020","285","2","695-711","","","","","","","","2020","","","0377-2217","","https://www.sciencedirect.com/science/article/pii/S0377221720301041;http://dx.doi.org/10.1016/j.ejor.2020.02.001","10.1016/j.ejor.2020.02.001","","","The aim of the Master Surgery Scheduling Problem (MSSP) is to schedule the medical specialties to the different operating rooms available, such that surgeries may be performed efficiently. We consider a MSSP where elective and emergency patients can be treated in the same operating rooms. In addition to elective-dedicated operating room slots, flexible operating room slots are introduced to handle the fluctuating demand of emergency patients. To solve the MSSP, we propose a simulation-optimization approach consisting of a two-stage stochastic optimization model and a discrete-event simulation model. For the two-stage stochastic optimization model, uncertain arrivals of emergency patients are represented by discrete scenarios. The discrete-event simulation model is developed to address uncertainty related to the surgery duration and the length of stay at the hospital, and to test the Master Surgery Schedule (MSS) developed by the optimization model in a stochastic operational-level environment. In addition, the simulation model is used to generate scenarios for the optimization model. We present some general advice for surgery scheduling based on testing the optimization model in a numerical study. The simulation-optimization approach is applied to a case study from a hospital department that treats both elective and emergency patients. The optimized MSS outperforms the manually generated MSS, both in terms of emergency waiting time for surgery, and emergency interruptions to the flow of electives.","OR in health services, Master Surgery Scheduling, Stochastic programming, Discrete-event simulation","","","","","","","","","","",""
"Journal Article","","","Development of an evidence-based model for predicting patient, provider, and appointment factors that influence no-shows in a rural healthcare system","","2023","","","","","","","","","","","2023","","","","","https://doi.org/10.21203/rs.3.rs-2640582/v1;http://dx.doi.org/10.21203/rs.3.rs-2640582/v1","10.21203/rs.3.rs-2640582/v1","","","","","Submitted for publication to BMC Health Services Research March 2023","","","","","","","","","",""
"Journal Article","Zhang Z,Zeng T,Wang Y,Su Y,Tian X,Ma G,Luan Z,Li F","","Prediction Model of hospitalization time of COVID-19 patients based on Gradient Boosted Regression Trees","Math. Biosci. Eng.","2023","20","6","10444-10458","","","","","","","","2023-04","","","","","","","","","When an outbreak of COVID-19 occurs, it will cause a shortage of medical resources and the surge of demand for hospital beds. Predicting the length of stay LOS of COVID-19 patients is helpful to the overall coordination of hospital management and improves the utilization rate of medical resources. The purpose of this paper is to predict LOS for patients with COVID-19, so as to provide hospital management with auxiliary decision-making of medical resource scheduling. We collected the data of 166 COVID-19 patients in a hospital in Xinjiang from July 19, 2020, to August 26, 2020, and carried out a retrospective study. The results showed that the median LOS was 17.0 days, and the average of LOS was 18.06 days. Demographic data and clinical indicators were included as predictive variables to construct a model for predicting the LOS using gradient boosted regression trees GBRT. The MSE, MAE and MAPE of the model are 23.84, 4.12 and 0.76 respectively. The importance of all the variables involved in the prediction of the model was analyzed, and the clinical indexes creatine kinase-MB CK-MB, C-reactive protein CRP, creatine kinase CK, white blood cell count WBC and the age of patients had a higher contribution to the LOS. We found our GBRT model can accurately predict the LOS of COVID-19 patients, which will provide good assistant decision-making for medical management.","COVID-19 ; GBRT ; length of stay ; machine learing ; predictive analytics","","","en","","","","","","","",""
"Journal Article","Maleki A,Hosseininesaz H,Jasemi M","","A comparative analysis of the efficient operating room scheduling models using robust optimization and upper partial moment","Healthcare Analytics","2023","3","","100144","","","","","","","","2023","","","2772-4425","","https://www.sciencedirect.com/science/article/pii/S2772442523000114;http://dx.doi.org/10.1016/j.health.2023.100144","10.1016/j.health.2023.100144","","","Operating room scheduling problems are difficult to solve due to the uncertainties inherent in operating time. This study develops a multi-stage linear mixed integer optimization model to optimize the operation time and resource assignment. The decision tree approach addresses the uncertainties in each level of the tree. The proposed model considers three optimistic, most probable, and pessimistic scenarios. Robust Optimization and Upper Partial Moments methods (UPM) are then applied to propose efficient solutions under uncertainty. A case study is presented to compare the solutions proposed by Robust Optimization and UPM methods. The results are compared according to the variance, solution time, and waiting time. We show that the UPM method is superior to the Robust Optimization method in terms of variance and waiting time, while it solves the problem slower.","Robust optimization, Upper partial moment, Health system, Operating room scheduling, Uncertainty","","","","","","","","","","",""
"Journal Article","Sumaya MK,Allen RM","","The Application of Operations Research Information System Tools in Hospital Operations Management in Developing Nations","University of Dar es Salaam Library Journal","2023","18","1","134-151","","","African Journals Online (AJOL)","","","","","2023-06","","","","","https://doi.org/10.4314/udslj.v18i1.9;http://dx.doi.org/10.4314/udslj.v18i1.9","10.4314/udslj.v18i1.9","","","","","","","","","","","","","","",""
"Book Chapter","Guo J","","Application of Operations Research to Healthcare","","2023","","","","","","IntechOpen","","New Research in Nursing - Education and Practice [Working Title]","","","2023-04","","","","","https://doi.org/10.5772/intechopen.109919;http://dx.doi.org/10.5772/intechopen.109919","10.5772/intechopen.109919","","","","","","","","","","","","","","",""
"Journal Article","Hua L,Dongmei M,Xinyu Y,Xinyue Z,Shutong W,Dongxuan W,Hao P,Ying W","","Research on outpatient capacity planning combining lean thinking and integer linear programming","BMC Medical Informatics and Decision Making","2023","23","1","32","","","","","","","","2023-02-13","","","1472-6947","","https://doi.org/10.1186/s12911-023-02106-6;http://dx.doi.org/10.1186/s12911-023-02106-6","10.1186/s12911-023-02106-6","","","The size and cost of outpatient capacity directly affect the operational efficiency of a whole hospital. Many scholars have faced the study of outpatient capacity planning from an operations management perspective.","","","","","","","","","","","",""
"Journal Article","Miao H,Wang JJ","","Distributed surgical scheduling across collaborating hospitals considering stochastic duration and emergency demand","Computers & Industrial Engineering","2023","183","","109462","","","","","","","","2023","","","0360-8352","","https://www.sciencedirect.com/science/article/pii/S0360835223004862;http://dx.doi.org/10.1016/j.cie.2023.109462","10.1016/j.cie.2023.109462","","","In this paper, we address the need for distributed surgical scheduling across multiple hospitals and multiple days. We develop an effective ex-ante distributed schedule to determine elective service operation and elective patient assignment plan in a hospital alliance with the goal of minimizing the total expected cost considering possible realizations of treatment durations and emergency demands. The problem is formulated into a two-stage stochastic integer programming where uncertainty is characterized by a scenario set. Cancellations of scheduled elective patients and inter-hospital transfers of materialized emergency patients are explicitly modeled as second-stage decisions. To solve the problem, we propose an integer decomposition algorithm that incorporates a novel logic-based optimality cut along with a validity proof. Additionally, we introduce several enhancements to improve the algorithm. Through numerical experiments, we demonstrate that our proposed algorithm outperforms both the commercial solver and the existing integer decomposition algorithm for the proposed problem. It provides effective solutions that closely approach the best upper bounds achieved by the solver in less time, or even surpass the solver's best upper bounds. Furthermore, we provide operational insights into other commonly-used scheduling approaches through numerical comparisons, including the strengths and limitations of the most common way of scheduling elective patients and two strategies for handling emergencies within a hospital alliance.","Hospital alliance, Distributed surgical scheduling, Duration and emergency uncertainty, Two-stage stochastic model with recourse, Integer decomposition","","","","","","","","","","",""
"Journal Article","Hu B,Jiang G,Yao X,Chen W,Yue T,Zhao Q,Wen Z","","Allocation of emergency medical resources for epidemic diseases considering the heterogeneity of epidemic areas","Frontiers in Public Health","2023","11","","","","","","","","","","2023","","","2296-2565","","https://www.frontiersin.org/articles/10.3389/fpubh.2023.992197;http://dx.doi.org/10.3389/fpubh.2023.992197","10.3389/fpubh.2023.992197","","","BackgroundThe resources available to fight an epidemic are typically limited, and the time and effort required to control it grow as the start date of the containment effort are delayed. When the population is afflicted in various regions, scheduling a fair and acceptable distribution of limited available resources stored in multiple emergency resource centers to each epidemic area has become a serious problem that requires immediate resolution.MethodsThis study presents an emergency medical logistics model for rapid response to public health emergencies. The proposed methodology consists of two recursive mechanisms: (1) time-varying forecasting of medical resources and (2) emergency medical resource allocation. Considering the epidemic's features and the heterogeneity of existing medical treatment capabilities in different epidemic areas, we provide the modified susceptible-exposed-infected-recovered (SEIR) model to predict the early stage emergency medical resource demand for epidemics. Then we define emergency indicators for each epidemic area based on this. By maximizing the weighted demand satisfaction rate and minimizing the total vehicle travel distance, we develop a bi-objective optimization model to determine the optimal medical resource allocation plan.ResultsDecision-makers should assign appropriate values to parameters at various stages of the emergency process based on the actual situation, to ensure that the results obtained are feasible and effective. It is necessary to set up an appropriate number of supply points in the epidemic emergency medical logistics supply to effectively reduce rescue costs and improve the level of emergency services.ConclusionsOverall, this work provides managerial insights to improve decisions made on medical distribution as per demand forecasting for quick response to public health emergencies.","","","","","","","","","","","",""
"Journal Article","Zhou Y,Gong Y,Hu X","","Robust optimization for casualty scheduling considering injury deterioration and point-edge mixed failures in early stage of post-earthquake relief","Frontiers in Public Health","2023","11","","","","","","","","","","2023","","","2296-2565","","https://www.frontiersin.org/articles/10.3389/fpubh.2023.995829;http://dx.doi.org/10.3389/fpubh.2023.995829","10.3389/fpubh.2023.995829","","","ObjectiveScientifically organizing emergency rescue activities to reduce mortality in the early stage of earthquakes.MethodsA robust casualty scheduling problem to reduce the total expected death probability of the casualties is studied by considering scenarios of disrupted medical points and routes. The problem is described as a 0-1 mixed integer nonlinear programming model. An improved particle swarm optimization (PSO) algorithm is introduced to solve the model. A case study of the Lushan earthquake in China is conducted to verify the feasibility and effectiveness of the model and algorithm.ResultsThe results show that the proposed PSO algorithm is superior to the compared genetic algorithm, immune optimization algorithm, and differential evolution algorithm. The optimization results are still robust and reliable even if some medical points fail and routes are disrupted in affected areas when considering point-edge mixed failure scenarios.ConclusionDecision makers can balance casualty treatment and system reliability based on the degree of risk preference considering the uncertainty of casualties, to achieve the optimal casualty scheduling effect.","","","","","","","","","","","",""
"Journal Article","Abraham S,John SM,Gupta A,Biswas S,Khare MM,Mukherjee P,Frankline AC","","Primary care for the urban poor in India during the pandemic: Uninterrupted management of non-communicable diseases and home-based care of patients with COVID-19 infection","Frontiers in Public Health","2023","10","","","","","","","","","","2023","","","2296-2565","","https://www.frontiersin.org/articles/10.3389/fpubh.2022.1043597;http://dx.doi.org/10.3389/fpubh.2022.1043597","10.3389/fpubh.2022.1043597","","","ProblemThe two waves of COVID-19 severely affected the healthcare system in India. The government responded to the first wave with a strict nationwide lockdown which disrupted primary care, including the management of non-communicable diseases (NCDs). The second wave overwhelmed healthcare facilities leading to inadequate access to hospital services. Collectively, these issues required urgent responses, including the adaptation of primary care.ApproachThe Low-Cost Effective Care Unit (LCECU) of Christian Medical College, Vellore (CMC) has a network of community volunteers, community health workers, an outreach nurse, social workers and doctors who operate clinics in six poorer areas of Vellore. The network adapted quickly, responding to the lockdown during the first wave and ensuring ongoing primary care for patients with non-communicable diseases. During the second wave, the team developed a system in collaboration with other CMC departments to provide home-based care for patients with COVID-19.Local settingThe LCECU is a 48-bed unit of the Department of Family Medicine, part of the 3,000-bed CMC. It originated in 1982, aiming to care for the poor populations of Vellore town. It has been actively working among urban communities since 2002, with a focus on delivering Community Oriented Primary Care (COPC), for six poor urban communities since 2016.Relevant changesDuring the first wave of COVID the LCECU team ensured patients with NCDs had uninterrupted primary care and medications by visiting them in their homes. The team also addressed food insecurity by organizing a daily lunch service for 600 people for over 2 months. In the second wave, the team responded to community needs by organizing and delivering home-based care to monitor patients affected by COVID-19.Lessons learnedThe COVID-19 pandemic raises many questions about the preparedness of health systems for disasters that disproportionately affect marginalized populations globally. COVID-19 is only one of the many potential disasters, including non-communicable diseases, mental health problems, pollution, climate change, and lifestyle illness. There is an urgent need to study models of care that support vulnerable communities in an accessible, cost-effective, and patient-oriented way, particularly in low- and middle-income countries. This paper outlines lessons on how the LCECU team addressed disaster management:1. The COVID-19 pandemic has highlighted the importance of primary care-based rapid response interventions in disaster management.2. The LCECU model demonstrated the effectiveness of a primary care intervention based on pre-existing networks and familiarity between primary care teams and the community.3. Establishing community-based health care via interdisciplinary teams, including community health workers, community volunteers, outreach nurses, and doctors, is key.4. Addressing other social determinants of health, such as food insecurity, is an important component of care delivery.","","","","","","","","","","","",""
"Journal Article","Hassanzadeh H,Boyle J,Khanna S,Biki B,Syed F","","Daily surgery caseload prediction: towards improving operating theatre efficiency","BMC Medical Informatics and Decision Making","2022","22","1","151","","","","","","","","2022","","","","","https://doi.org/10.1186/s12911-022-01893-8;http://dx.doi.org/10.1186/s12911-022-01893-8","10.1186/s12911-022-01893-8","","","In many hospitals, operating theatres are not used to their full potential due to the dynamic nature of demand and the complexity of theatre scheduling. Theatre inefficiencies may lead to access block and delays in treating patients requiring critical care. This study aims to employ operating theatre data to provide decision support for improved theatre management.","","","","","","","","","","","",""
"Journal Article","Xueru Xu Li Luo HX,Fang Y","","The emergency hierarchical medical system in China: Improving patient waiting times and operation management","International Journal of Healthcare Management","2023","0","0","1-11","","","Taylor & Francis","","","","","2023","","","","","https://doi.org/10.1080/20479700.2023.2229525;http://dx.doi.org/10.1080/20479700.2023.2229525","10.1080/20479700.2023.2229525","","","The emergency hierarchical medical system, a multi-hospital collaborative approach, is one of the innovative healthcare management modes in China during the COVID-19 epidemic. This study aims to prove the waiting cost-saving effectiveness of the emergency hierarchical medical system. Two discrete event simulation models based on this system and traditional admission system will be constructed, and the M/M/1 queue structure with outpatient phase and hospitalization phase will be used to calculate the waiting time of those two systems. Furthermore, we do sensitivity analyses of hospital level, in-hospital disease cross-infection, and resource allocation to get the least costly strategy and to provide operational guidance. In the result, based on the regional virtual hospital structure constructed, the emergency hierarchical medical system outperforms the traditional system when the number of infection patients exceeds a threshold. Besides, the rate of in-hospital cross-infection does not affect the cost-saving effectiveness of system, and the centralized hospital should be set considering the hospital service ability. Moreover, given limited medical resources during the epidemic, the resource allocation between hospitals and patients can be optimized to improve the system's cost-saving.","","","","","","","","https://doi.org/10.1080/20479700.2023.2229525","","","",""
